timestamp,source,gateway_eui,gateway_name,gateway_address,device_eui,device_addr,device_name,rssi,snr,datr,size,sensor_latitude,sensor_longitude,sensor_altitude,room,floor,known_location,multi_gateway,gateway_count,gateway_list,best_gateway,best_rssi
2026-06-05T00:15:22.625Z,Live,a840411eadfc4150,Meander,,a81758fffe047d5f,01643728,POF_ME202,-75,9.2,SF7BW125,28,52.23679593002983,6.860060116436161,4,,,false,false,1,a8:40:41:1e:ad:fc:41:50,a8:40:41:1e:ad:fc:41:50,-75
2026-06-05T00:15:27.727Z,Live,a840411eae004150,Ravelijn-A,,,260bf3f9,,-75,9.5,SF7BW125,28,52.23907591227292,6.8554076205738355,4,,,false,false,1,a8:40:41:1e:ae:00:41:50,a8:40:41:1e:ae:00:41:50,-75
2026-06-05T00:15:41.898Z,Live,a840411eae004150,Ravelijn-A,,353431367b376e04,fe00e80d,p171108-2002525,-87,6.8,SF7BW125,18,52.23952384,6.855265086,0,RA3334,3,true,false,1,a8:40:41:1e:ae:00:41:50,a8:40:41:1e:ae:00:41:50,-87
2026-06-05T00:15:43.398Z,Live,a840411eae004150,Ravelijn-A,,,260bc456,,-55,7.2,SF7BW125,28,52.239119392649364,6.8553496518982495,4,,,false,false,1,a8:40:41:1e:ae:00:41:50,a8:40:41:1e:ae:00:41:50,-55
2026-06-05T00:15:45.962Z,Live,a840411eadfc4150,Meander,,a81758fffe047bac,00c6d5c0,POF_ME211,-112,1.2,SF7BW125,28,52.23700137602419,6.859690488494185,4,,,false,false,1,a8:40:41:1e:ad:fc:41:50,a8:40:41:1e:ad:fc:41:50,-112
2026-06-05T00:15:47.554Z,Live,a840411ee8904150,Vrijhof,,0004a30b00204a53,fe00e862,nighthawk0022,-81,10,SF7BW125,22,52.24382401,6.853928566,0,VR275P,2,true,false,1,a8:40:41:1e:e8:90:41:50,a8:40:41:1e:e8:90:41:50,-81
2026-06-05T00:15:48.279Z,Live,a840411ee8904150,Vrijhof,,0004a30b001eb24f,fe00e867,nighthawk0003,-103,8.2,SF7BW125,22,52.24343442,6.853162438,0,VR247,2,true,false,1,a8:40:41:1e:e8:90:41:50,a8:40:41:1e:e8:90:41:50,-103
2026-06-05T00:15:49.706Z,Live,a840411ee8904150,Vrijhof,,0004a30b00203a13,fe00e802,nighthawk0018,-103,7.8,SF7BW125,22,52.24392319,6.853487015,0,VR173,1,true,false,1,a8:40:41:1e:e8:90:41:50,a8:40:41:1e:e8:90:41:50,-103
2026-06-05T00:15:59.712Z,Live,a840411eae004150,Ravelijn-A,,,260bd26e,,-102,9,SF7BW125,28,52.23925495634146,6.855668881173607,4,,,false,false,1,a8:40:41:1e:ae:00:41:50,a8:40:41:1e:ae:00:41:50,-102
2026-06-05T00:16:01.895Z,Live,a840411eadfc4150,Meander,,a81758fffe047bab,005ad22d,POF_ME208,-79,11,SF7BW125,28,52.23689873804289,6.859821882797902,4,,,false,false,1,a8:40:41:1e:ad:fc:41:50,a8:40:41:1e:ad:fc:41:50,-79
